"","WEATHER_CONDITION","CRASH_HOUR","LATITUDE","LONGITUDE"
"390","CLEAR",9,41.788260436,-87.801224119
"391","CLEAR",9,41.765621413,-87.615114035
"392","CLEAR",23,41.777361667,-87.793216817
"393","CLEAR",14,41.810019592,-87.723810008
"394","CLEAR",21,41.691517952,-87.711053561
"395","CLEAR",22,41.873736731,-87.710906003
"396","CLEAR",23,41.836278959,-87.736466337
"397","CLEAR",13,41.758715467,-87.586280965
"398","CLEAR",16,41.819222277,-87.632478358
"399","CLEAR",22,41.923794479,-87.729346265
"400","CLEAR",21,41.823811718,-87.609767122
"401","CLEAR",20,41.692555657,-87.618428812
"402","CLEAR",6,41.846108236,-87.730413868
"403","CLEAR",18,41.941105293,-87.639660529
"404","CLEAR",1,41.888738146,-87.755519988
"405","CLEAR",20,41.744581196,-87.552902021
"406","CLEAR",15,41.794878222,-87.606365814
"407","CLEAR",11,41.903392062,-87.671376684
"408","CLEAR",20,41.931887513,-87.727865297
"409","CLEAR",14,41.924068922,-87.766141214
"410","CLEAR",19,41.76505721,-87.722273794
"411","CLEAR",14,41.809534781,-87.592450223
"412","CLEAR",19,41.854616107,-87.631681923
"413","CLEAR",22,41.946280484,-87.646460915
"414","CLEAR",23,41.928669021,-87.673779205
"415","CLEAR",14,41.857870378,-87.668344757
"416","CLOUDY/OVERCAST",14,41.931841923,-87.645069361
"417","CLEAR",9,41.971434177,-87.646430383
"418","CLEAR",18,41.968172661,-87.744625466
"419","CLEAR",23,41.768441057,-87.663957246
"420","CLEAR",13,41.728316077,-87.667963628
"421","CLEAR",1,41.948636313,-87.649379376
"422","CLEAR",11,41.735696989,-87.663209544
"423","CLEAR",5,41.747009104,-87.635049487
"424","CLEAR",11,41.824182285,-87.71165511
"425","CLOUDY/OVERCAST",16,41.946280811,-87.655603128
"426","CLEAR",16,41.913806102,-87.664005466
"427","CLEAR",21,41.998184771,-87.670662562
"428","CLEAR",4,41.743839159,-87.572342447
"429","CLEAR",19,41.929375664,-87.776052282
"430","CLEAR",15,41.928335779,-87.778155446
"431","CLEAR",4,41.876218139,-87.715593062
"432","CLEAR",9,41.993307172,-87.656764837
"433","CLOUDY/OVERCAST",15,41.952425097,-87.654335775
"434","CLEAR",18,42.014035446,-87.665224897
