Latitude,Longitude,crime_hour
41.986976713,-87.702926193,11
41.888993854,-87.626934833,21
41.855103027,-87.66462748,19
41.787924401,-87.77310519,6
41.989243623,-87.665119726,17
41.757630995,-87.585708249,18
41.795991039,-87.630542489,15
41.895721019,-87.767855681,14
41.960869336,-87.73489906,5
41.869507545,-87.643733495,9
41.757630995,-87.585708249,1
41.86162732,-87.736045588,14
41.750496155,-87.613697642,7
41.761685294,-87.589663721,0
41.867097632,-87.723702988,11
41.817506771,-87.623054656,12
41.739332692,-87.730082896,20
41.894824927,-87.631788635,9
41.898527613,-87.762155899,19
41.775788274,-87.738543794,21
41.727075077,-87.632154981,6
42.012107975,-87.697942345,4
41.784420838,-87.650978283,15
41.967598732,-87.707224619,10
41.756090258,-87.583420843,23
41.888993854,-87.626934833,16
41.86709594,-87.723901257,19
41.814981975,-87.634678254,17
41.718230279,-87.570982576,13
41.722077487,-87.556592525,1
41.910667557,-87.732469532,7
41.894433741,-87.661363513,20
41.783863694,-87.700842539,23
41.783717555,-87.692300826,10
41.79329893,-87.66456619,1
41.75568028,-87.640507739,13
41.94615313,-87.745185825,23
41.86409978,-87.713749532,17
41.947254789,-87.653471904,0
41.786864286,-87.656254513,10
41.906797102,-87.671861659,12
41.866475734,-87.772933914,8
41.895479821,-87.714177247,12
41.986392486,-87.656700734,23
41.988341219,-87.65676102,10
41.76028691,-87.61223945,12
41.759175185,-87.638468957,17
41.873237392,-87.715647681,9
41.929321311,-87.700017718,1
41.989243623,-87.665119726,15
41.823536688,-87.616989442,15
41.768720328,-87.61533786,11
41.726150835,-87.572709607,8
41.881915619,-87.736580102,15
41.916687062,-87.802355045,4
41.787672303,-87.652278523,21
41.699403785,-87.605622083,20
41.889629205,-87.632543289,8
41.754115911,-87.55033154,14
42.002205113,-87.693659066,15
41.757630995,-87.585708249,18
41.888993854,-87.626934833,21
41.774699091,-87.700587977,19
41.867909095,-87.70571645,16
41.908444923,-87.752236623,13
41.867595589,-87.69959933,14
41.929807502,-87.793000076,11
41.773125446,-87.606692018,17
41.736037583,-87.646167064,21
